country,score,upper,lower,gdp_explained,ss_explained,hle_explained,fmlc_explained,gen_explained,pc_explained,dystopia_residual,year,rank,Country/Territory,Region,C/T,Edition,Status,PR rating,CL rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,Add A,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total,_merge
Taiwan Province of China,6.584,6.659,6.51,1.48,0.982,0.665,0.49,0.142,0.139,2.687,2021,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
United Arab Emirates,6.561,6.637,6.484,1.555,0.86,0.594,0.67,0.236,0.223,2.422,2021,25.0,United Arab Emirates,Middle East,c,2021.0,NF,7.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,,5.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,12.0,17.0,both
Saudi Arabia,6.494,6.604,6.384,1.435,0.964,0.571,0.603,0.09,0.163,2.668,2021,26.0,Saudi Arabia,Middle East,c,2021.0,NF,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,6.0,7.0,both
Spain,6.491,6.574,6.408,1.375,1.057,0.826,0.462,0.135,0.124,2.513,2021,27.0,Spain,Europe,c,2021.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,3.0,3.0,3.0,9.0,0.0,,37.0,3.0,4.0,4.0,3.0,14.0,3.0,4.0,4.0,11.0,3.0,3.0,4.0,3.0,13.0,4.0,4.0,4.0,3.0,15.0,53.0,90.0,both
Italy,6.483,6.572,6.395,1.393,0.94,0.798,0.379,0.133,0.047,2.794,2021,28.0,Italy,Europe,c,2021.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,3.0,3.0,14.0,4.0,3.0,3.0,10.0,0.0,,36.0,3.0,4.0,4.0,4.0,15.0,4.0,4.0,4.0,12.0,4.0,3.0,3.0,3.0,13.0,4.0,3.0,4.0,3.0,14.0,54.0,90.0,both
Slovenia,6.461,6.546,6.376,1.36,1.093,0.722,0.69,0.122,0.085,2.388,2021,29.0,Slovenia,Europe,c,2021.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,3.0,4.0,11.0,0.0,,39.0,3.0,4.0,4.0,4.0,15.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,3.0,3.0,14.0,56.0,95.0,both
Guatemala,6.435,6.577,6.292,0.845,0.79,0.519,0.638,0.163,0.105,3.375,2021,30.0,Guatemala,Americas,c,2021.0,PF,4.0,4.0,2.0,3.0,2.0,7.0,3.0,3.0,2.0,2.0,10.0,2.0,1.0,1.0,4.0,0.0,,21.0,2.0,4.0,3.0,2.0,11.0,2.0,2.0,2.0,6.0,2.0,1.0,2.0,1.0,6.0,3.0,2.0,2.0,1.0,8.0,31.0,52.0,both
Uruguay,6.431,6.521,6.341,1.164,1.042,0.649,0.625,0.128,0.223,2.6,2021,31.0,Uruguay,Americas,c,2021.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,0.0,,40.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,4.0,3.0,4.0,4.0,15.0,4.0,4.0,4.0,3.0,15.0,58.0,98.0,both
Singapore,6.377,6.46,6.293,1.695,1.019,0.897,0.664,0.176,0.547,1.379,2021,32.0,Singapore,Asia,c,2021.0,PF,4.0,4.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,8.0,2.0,3.0,2.0,7.0,0.0,,19.0,2.0,3.0,1.0,2.0,8.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,7.0,2.0,3.0,3.0,3.0,11.0,29.0,48.0,both
Kosovo,6.372,6.487,6.257,0.937,0.807,0.483,0.593,0.356,0.014,3.182,2021,33.0,Kosovo,Europe,c,2021.0,PF,4.0,4.0,2.0,3.0,3.0,8.0,3.0,3.0,2.0,2.0,10.0,2.0,1.0,2.0,5.0,0.0,,23.0,2.0,2.0,2.0,3.0,9.0,3.0,3.0,2.0,8.0,1.0,1.0,2.0,2.0,6.0,3.0,1.0,2.0,2.0,8.0,31.0,54.0,both
Slovakia,6.331,6.411,6.251,1.304,1.066,0.653,0.468,0.107,0.018,2.714,2021,34.0,Slovakia,Europe,c,2021.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,3.0,3.0,10.0,0.0,,37.0,3.0,4.0,4.0,4.0,15.0,4.0,4.0,4.0,12.0,3.0,3.0,3.0,3.0,12.0,4.0,4.0,3.0,3.0,14.0,53.0,90.0,both
Brazil,6.33,6.415,6.245,1.028,0.944,0.571,0.514,0.142,0.117,3.015,2021,35.0,Brazil,Americas,c,2021.0,F,2.0,3.0,3.0,3.0,4.0,10.0,4.0,4.0,3.0,3.0,14.0,3.0,2.0,2.0,7.0,0.0,,31.0,3.0,4.0,4.0,3.0,14.0,3.0,3.0,3.0,9.0,3.0,2.0,1.0,2.0,8.0,4.0,3.0,3.0,2.0,12.0,43.0,74.0,both
Mexico,6.317,6.42,6.213,1.126,0.83,0.634,0.585,0.092,0.089,2.961,2021,36.0,Mexico,Americas,c,2021.0,PF,3.0,4.0,3.0,3.0,3.0,9.0,4.0,4.0,2.0,3.0,13.0,2.0,1.0,2.0,5.0,0.0,,27.0,2.0,4.0,4.0,3.0,13.0,3.0,2.0,2.0,7.0,2.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,2.0,9.0,34.0,61.0,both
Jamaica,6.309,6.615,6.004,0.891,0.932,0.599,0.618,0.099,0.035,3.135,2021,37.0,Jamaica,Americas,c,2021.0,F,2.0,2.0,4.0,4.0,4.0,12.0,4.0,4.0,2.0,3.0,13.0,4.0,3.0,2.0,9.0,0.0,,34.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,3.0,11.0,4.0,2.0,2.0,1.0,9.0,3.0,3.0,2.0,3.0,11.0,46.0,80.0,both
Lithuania,6.255,6.344,6.167,1.35,1.065,0.612,0.476,0.056,0.073,2.624,2021,38.0,Lithuania,Europe,c,2021.0,F,1.0,2.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,3.0,3.0,10.0,0.0,,38.0,3.0,4.0,4.0,4.0,15.0,4.0,4.0,3.0,11.0,3.0,3.0,3.0,3.0,12.0,4.0,4.0,3.0,3.0,14.0,52.0,90.0,both
Cyprus,6.223,6.319,6.128,1.377,0.765,0.801,0.464,0.178,0.061,2.578,2021,39.0,Cyprus,Europe,c,2021.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,3.0,4.0,11.0,0.0,,38.0,4.0,4.0,3.0,4.0,15.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,3.0,4.0,4.0,3.0,14.0,56.0,94.0,both
Estonia,6.189,6.263,6.115,1.344,1.079,0.64,0.641,0.119,0.263,2.103,2021,40.0,Estonia,Europe,c,2021.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,3.0,4.0,11.0,0.0,,38.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,4.0,4.0,3.0,3.0,14.0,4.0,4.0,3.0,3.0,14.0,56.0,94.0,both
Panama,6.18,6.323,6.036,1.298,0.976,0.667,0.596,0.079,0.053,2.509,2021,41.0,Panama,Americas,c,2021.0,F,2.0,2.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,2.0,2.0,8.0,0.0,,35.0,3.0,4.0,4.0,4.0,15.0,4.0,4.0,3.0,11.0,2.0,2.0,3.0,3.0,10.0,4.0,3.0,3.0,2.0,12.0,48.0,83.0,both
Uzbekistan,6.179,6.312,6.045,0.769,1.027,0.528,0.716,0.391,0.271,2.477,2021,42.0,Uzbekistan,Eurasia,c,2021.0,NF,7.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,2.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,11.0,both
Chile,6.172,6.262,6.081,1.2,0.946,0.678,0.438,0.159,0.07,2.682,2021,43.0,Chile,Americas,c,2021.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,3.0,4.0,11.0,0.0,,38.0,4.0,4.0,4.0,4.0,16.0,3.0,4.0,4.0,11.0,4.0,4.0,2.0,3.0,13.0,4.0,4.0,4.0,3.0,15.0,55.0,93.0,both
Poland,6.166,6.245,6.087,1.309,0.982,0.668,0.558,0.08,0.13,2.438,2021,44.0,Poland,Europe,c,2021.0,F,2.0,2.0,3.0,4.0,3.0,10.0,4.0,4.0,4.0,4.0,16.0,3.0,3.0,2.0,8.0,0.0,,34.0,3.0,4.0,3.0,3.0,13.0,3.0,3.0,4.0,10.0,1.0,3.0,4.0,3.0,11.0,4.0,4.0,3.0,3.0,14.0,48.0,82.0,both
Kazakhstan,6.152,6.243,6.06,1.23,1.103,0.527,0.573,0.143,0.132,2.446,2021,45.0,Kazakhstan,Eurasia,c,2021.0,NF,7.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,,5.0,0.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,8.0,18.0,23.0,both
Romania,6.14,6.253,6.027,1.275,0.832,0.595,0.564,0.045,0.001,2.83,2021,46.0,Romania,Europe,c,2021.0,F,2.0,2.0,4.0,4.0,4.0,12.0,4.0,4.0,3.0,3.0,14.0,4.0,2.0,3.0,9.0,0.0,,35.0,3.0,3.0,3.0,4.0,13.0,4.0,4.0,3.0,11.0,3.0,3.0,3.0,3.0,12.0,4.0,2.0,3.0,3.0,12.0,48.0,83.0,both
Kuwait,6.106,6.235,5.977,1.461,0.857,0.58,0.591,0.12,0.13,2.368,2021,47.0,Kuwait,Middle East,c,2021.0,PF,5.0,5.0,0.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,7.0,1.0,1.0,2.0,4.0,0.0,,14.0,1.0,2.0,2.0,1.0,6.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,7.0,2.0,1.0,2.0,1.0,6.0,23.0,37.0,both
Serbia,6.078,6.181,5.974,1.101,0.924,0.634,0.482,0.189,0.066,2.682,2021,48.0,Serbia,Europe,c,2021.0,PF,4.0,3.0,3.0,2.0,2.0,7.0,3.0,2.0,2.0,3.0,10.0,2.0,1.0,2.0,5.0,0.0,,22.0,2.0,4.0,3.0,3.0,12.0,3.0,3.0,3.0,9.0,2.0,2.0,3.0,2.0,9.0,4.0,3.0,3.0,2.0,12.0,42.0,64.0,both
El Salvador,6.061,6.188,5.933,0.845,0.675,0.565,0.615,0.116,0.16,3.085,2021,49.0,El Salvador,Americas,c,2021.0,PF,2.0,4.0,4.0,3.0,4.0,11.0,4.0,4.0,2.0,3.0,13.0,2.0,2.0,2.0,6.0,0.0,,30.0,2.0,3.0,3.0,3.0,11.0,3.0,3.0,2.0,8.0,2.0,2.0,1.0,2.0,7.0,1.0,2.0,2.0,2.0,7.0,33.0,63.0,both
Mauritius,6.049,6.165,5.933,1.178,0.996,0.574,0.59,0.153,0.096,2.462,2021,50.0,Mauritius,Africa,c,2021.0,F,1.0,2.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,3.0,3.0,10.0,0.0,,37.0,3.0,4.0,4.0,3.0,14.0,4.0,4.0,3.0,11.0,3.0,4.0,3.0,3.0,13.0,4.0,3.0,3.0,2.0,12.0,50.0,87.0,both
Latvia,6.032,6.103,5.961,1.285,1.047,0.587,0.405,0.082,0.089,2.536,2021,51.0,Latvia,Europe,c,2021.0,F,1.0,2.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,3.0,3.0,10.0,0.0,,37.0,3.0,4.0,3.0,4.0,14.0,4.0,4.0,4.0,12.0,3.0,3.0,3.0,3.0,12.0,4.0,4.0,3.0,3.0,14.0,52.0,89.0,both
Colombia,6.012,6.132,5.892,1.021,0.866,0.615,0.554,0.1,0.063,2.794,2021,52.0,Colombia,Americas,c,2021.0,PF,3.0,3.0,4.0,3.0,3.0,10.0,3.0,3.0,2.0,3.0,11.0,3.0,2.0,3.0,8.0,0.0,,29.0,2.0,4.0,3.0,3.0,12.0,2.0,2.0,2.0,6.0,3.0,2.0,2.0,2.0,9.0,2.0,2.0,3.0,2.0,9.0,36.0,65.0,both
Hungary,5.992,6.085,5.899,1.301,1.083,0.615,0.454,0.067,0.04,2.432,2021,53.0,Hungary,Europe,c,2021.0,PF,3.0,3.0,3.0,3.0,3.0,9.0,3.0,2.0,3.0,3.0,11.0,2.0,2.0,2.0,6.0,0.0,,26.0,2.0,3.0,2.0,3.0,10.0,4.0,2.0,4.0,10.0,2.0,3.0,3.0,2.0,10.0,4.0,3.0,3.0,3.0,13.0,43.0,69.0,both
Thailand,5.985,6.077,5.893,1.107,0.957,0.596,0.611,0.375,0.028,2.309,2021,54.0,Thailand,Asia,c,2021.0,NF,7.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,,5.0,1.0,3.0,1.0,1.0,6.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,5.0,3.0,2.0,3.0,2.0,10.0,25.0,30.0,both
Nicaragua,5.972,6.134,5.81,0.693,0.904,0.604,0.553,0.201,0.176,2.841,2021,55.0,Nicaragua,Americas,c,2021.0,NF,6.0,5.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,0.0,,10.0,1.0,2.0,2.0,2.0,7.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,8.0,20.0,30.0,both
Japan,5.94,6.02,5.861,1.389,0.949,0.838,0.504,0.02,0.192,2.048,2021,56.0,Japan,Asia,c,2021.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,0.0,,40.0,3.0,4.0,4.0,4.0,15.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,3.0,3.0,14.0,56.0,96.0,both
Argentina,5.929,6.04,5.819,1.162,0.98,0.646,0.544,0.069,0.067,2.461,2021,57.5,Argentina,Americas,c,2021.0,F,2.0,2.0,4.0,4.0,3.0,11.0,4.0,4.0,4.0,4.0,16.0,3.0,2.0,3.0,8.0,0.0,,35.0,3.0,4.0,4.0,4.0,15.0,4.0,4.0,3.0,11.0,2.0,3.0,2.0,3.0,10.0,3.0,3.0,4.0,3.0,13.0,49.0,84.0,both
Portugal,5.929,6.037,5.821,1.323,0.939,0.76,0.621,0.029,0.033,2.225,2021,57.5,Portugal,Europe,c,2021.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,3.0,4.0,11.0,0.0,,39.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,4.0,4.0,3.0,3.0,14.0,4.0,4.0,4.0,3.0,15.0,57.0,96.0,both
Honduras,5.919,6.081,5.758,0.703,0.787,0.593,0.578,0.241,0.083,2.934,2021,59.0,Honduras,Americas,c,2021.0,PF,4.0,5.0,2.0,3.0,2.0,7.0,3.0,2.0,1.0,2.0,8.0,2.0,1.0,1.0,4.0,0.0,,19.0,1.0,4.0,2.0,2.0,9.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,8.0,25.0,44.0,both
Croatia,5.882,5.975,5.788,1.251,1.039,0.703,0.453,0.111,0.0,2.325,2021,60.0,Croatia,Europe,c,2021.0,F,1.0,2.0,4.0,4.0,4.0,12.0,4.0,4.0,3.0,3.0,14.0,4.0,3.0,3.0,10.0,0.0,,36.0,3.0,3.0,3.0,4.0,13.0,4.0,4.0,4.0,12.0,3.0,3.0,3.0,2.0,11.0,4.0,3.0,3.0,3.0,13.0,49.0,85.0,both
Philippines,5.88,5.982,5.778,0.853,0.828,0.426,0.651,0.125,0.126,2.872,2021,61.0,Philippines,Asia,c,2021.0,PF,3.0,4.0,3.0,3.0,3.0,9.0,3.0,2.0,2.0,3.0,10.0,3.0,1.0,2.0,6.0,0.0,,25.0,1.0,4.0,4.0,3.0,12.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,10.0,31.0,56.0,both
South Korea,5.845,5.928,5.763,1.403,0.758,0.801,0.353,0.134,0.135,2.262,2021,62.0,South Korea,Asia,c,2021.0,F,2.0,2.0,4.0,4.0,3.0,11.0,3.0,4.0,3.0,3.0,13.0,4.0,3.0,2.0,9.0,0.0,,33.0,3.0,4.0,3.0,4.0,14.0,4.0,3.0,4.0,11.0,3.0,3.0,3.0,3.0,12.0,4.0,3.0,3.0,3.0,13.0,50.0,83.0,both
Peru,5.84,5.988,5.692,0.986,0.833,0.623,0.536,0.087,0.031,2.744,2021,63.0,Peru,Americas,c,2021.0,PF,3.0,3.0,3.0,4.0,3.0,10.0,4.0,4.0,3.0,2.0,13.0,2.0,2.0,2.0,6.0,0.0,,29.0,3.0,4.0,4.0,4.0,15.0,3.0,3.0,2.0,8.0,2.0,2.0,2.0,2.0,8.0,4.0,3.0,2.0,2.0,11.0,42.0,71.0,both
Bosnia and Herzegovina,5.813,5.911,5.715,1.032,0.919,0.618,0.395,0.261,0.005,2.583,2021,64.0,Bosnia and Herzegovina,Europe,c,2021.0,PF,4.0,4.0,2.0,2.0,2.0,6.0,3.0,2.0,2.0,2.0,9.0,2.0,1.0,1.0,4.0,0.0,,19.0,2.0,3.0,2.0,3.0,10.0,3.0,2.0,2.0,7.0,1.0,2.0,2.0,2.0,7.0,3.0,2.0,3.0,2.0,10.0,34.0,53.0,both
Moldova,5.766,5.856,5.677,0.985,0.888,0.542,0.536,0.137,0.013,2.665,2021,65.0,Moldova,Eurasia,c,2021.0,PF,3.0,3.0,4.0,3.0,2.0,9.0,3.0,4.0,2.0,3.0,12.0,3.0,1.0,1.0,5.0,0.0,,26.0,2.0,3.0,3.0,4.0,12.0,3.0,3.0,2.0,8.0,1.0,1.0,2.0,2.0,6.0,3.0,2.0,2.0,2.0,9.0,35.0,61.0,both
Ecuador,5.764,5.875,5.653,0.935,0.806,0.64,0.56,0.107,0.062,2.653,2021,66.0,Ecuador,Americas,c,2021.0,PF,3.0,3.0,3.0,3.0,2.0,8.0,3.0,3.0,3.0,3.0,12.0,3.0,2.0,2.0,7.0,0.0,,27.0,3.0,4.0,3.0,3.0,13.0,3.0,3.0,3.0,9.0,2.0,2.0,2.0,2.0,8.0,3.0,2.0,3.0,2.0,10.0,40.0,67.0,both
Kyrgyzstan,5.744,5.834,5.653,0.665,0.971,0.501,0.673,0.266,0.02,2.648,2021,67.0,Kyrgyzstan,Eurasia,c,2021.0,NF,7.0,5.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,,4.0,2.0,2.0,3.0,3.0,10.0,1.0,2.0,2.0,5.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,7.0,24.0,28.0,both
Greece,5.723,5.813,5.632,1.273,0.811,0.76,0.243,0.0,0.074,2.561,2021,68.0,Greece,Europe,c,2021.0,F,1.0,2.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,3.0,3.0,10.0,0.0,,37.0,3.0,3.0,4.0,4.0,14.0,3.0,4.0,4.0,11.0,3.0,3.0,3.0,2.0,11.0,4.0,3.0,4.0,3.0,14.0,50.0,87.0,both
Bolivia,5.716,5.819,5.613,0.842,0.782,0.486,0.6,0.138,0.064,2.805,2021,69.0,Bolivia,Americas,c,2021.0,PF,3.0,3.0,4.0,4.0,2.0,10.0,3.0,2.0,2.0,3.0,10.0,3.0,2.0,2.0,7.0,0.0,,27.0,2.0,4.0,4.0,4.0,14.0,3.0,3.0,3.0,9.0,1.0,1.0,2.0,2.0,6.0,3.0,2.0,3.0,2.0,10.0,39.0,66.0,both
Mongolia,5.677,5.76,5.595,0.966,1.065,0.442,0.397,0.263,0.053,2.492,2021,70.0,Mongolia,Asia,c,2021.0,F,1.0,2.0,4.0,4.0,3.0,11.0,4.0,4.0,4.0,4.0,16.0,4.0,2.0,3.0,9.0,0.0,,36.0,3.0,4.0,4.0,3.0,14.0,4.0,4.0,3.0,11.0,2.0,3.0,3.0,3.0,11.0,4.0,3.0,3.0,2.0,12.0,48.0,84.0,both
Paraguay,5.653,5.832,5.473,0.983,0.97,0.549,0.602,0.206,0.037,2.306,2021,71.0,Paraguay,Americas,c,2021.0,PF,3.0,3.0,3.0,4.0,3.0,10.0,3.0,4.0,3.0,2.0,12.0,2.0,2.0,2.0,6.0,0.0,,28.0,2.0,4.0,3.0,3.0,12.0,3.0,3.0,2.0,8.0,2.0,1.0,2.0,2.0,7.0,3.0,3.0,2.0,2.0,10.0,37.0,65.0,both
Montenegro,5.581,5.686,5.475,1.155,0.891,0.637,0.397,0.166,0.081,2.254,2021,72.0,Montenegro,Europe,c,2021.0,PF,3.0,3.0,3.0,3.0,3.0,9.0,2.0,3.0,2.0,3.0,10.0,2.0,1.0,2.0,5.0,0.0,,24.0,2.0,3.0,3.0,2.0,10.0,3.0,3.0,3.0,9.0,2.0,1.0,3.0,3.0,9.0,3.0,2.0,3.0,3.0,11.0,39.0,63.0,both
Dominican Republic,5.545,5.685,5.405,1.106,0.879,0.555,0.581,0.101,0.144,2.178,2021,73.0,Dominican Republic,Americas,c,2021.0,PF,3.0,3.0,3.0,3.0,3.0,9.0,3.0,3.0,3.0,1.0,10.0,3.0,2.0,2.0,7.0,0.0,,26.0,2.0,4.0,4.0,4.0,14.0,3.0,4.0,3.0,10.0,3.0,2.0,2.0,1.0,8.0,2.0,3.0,2.0,2.0,9.0,41.0,67.0,both
North Cyprus,5.536,5.636,5.435,1.377,0.806,0.801,0.503,0.196,0.2,1.653,2021,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
Belarus,5.534,5.625,5.442,1.124,1.007,0.56,0.326,0.07,0.199,2.247,2021,75.0,Belarus,Eurasia,c,2021.0,NF,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,9.0,11.0,both
Russia,5.477,5.541,5.413,1.241,0.992,0.511,0.409,0.115,0.06,2.148,2021,76.5,Russia,Eurasia,c,2021.0,NF,7.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,,5.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,7.0,15.0,20.0,both
Hong Kong S.A.R. of China,5.477,5.573,5.38,1.525,0.841,0.893,0.408,0.232,0.342,1.236,2021,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
Tajikistan,5.466,5.532,5.4,0.508,0.895,0.498,0.548,0.152,0.247,2.619,2021,78.0,Tajikistan,Eurasia,c,2021.0,NF,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,8.0,8.0,both
Vietnam,5.411,5.488,5.334,0.817,0.873,0.616,0.679,0.124,0.091,2.211,2021,79.0,Vietnam,Asia,c,2021.0,NF,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,,3.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,8.0,16.0,19.0,both
Libya,5.41,5.558,5.262,1.044,0.821,0.435,0.474,0.131,0.174,2.331,2021,80.0,Libya,Africa,c,2021.0,NF,7.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,8.0,9.0,both
Malaysia,5.384,5.48,5.289,1.259,0.797,0.587,0.624,0.27,0.064,1.784,2021,81.0,Malaysia,Asia,c,2021.0,PF,4.0,4.0,2.0,2.0,2.0,6.0,2.0,3.0,2.0,2.0,9.0,2.0,2.0,2.0,6.0,0.0,,21.0,2.0,1.0,2.0,3.0,8.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,1.0,7.0,3.0,3.0,2.0,1.0,9.0,30.0,51.0,both
Indonesia,5.345,5.454,5.235,0.954,0.786,0.433,0.598,0.541,0.046,1.987,2021,82.0,Indonesia,Asia,c,2021.0,PF,2.0,4.0,4.0,4.0,3.0,11.0,4.0,4.0,3.0,2.0,13.0,3.0,1.0,2.0,6.0,0.0,,30.0,3.0,1.0,2.0,3.0,9.0,2.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,2.0,9.0,29.0,59.0,both
Congo,5.342,5.533,5.151,0.518,0.392,0.307,0.381,0.144,0.124,3.476,2021,83.0,Congo,Africa,c,2021.0,NF,7.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,6.0,18.0,20.0,both
China,5.339,5.397,5.281,1.061,0.785,0.665,0.636,0.093,0.117,1.982,2021,84.0,China,Asia,c,2021.0,NF,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,,-2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,6.0,11.0,9.0,both
Ivory Coast,5.306,5.46,5.152,0.669,0.409,0.052,0.438,0.177,0.092,3.469,2021,85.0,Ivory Coast,Africa,c,2021.0,PF,5.0,4.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,2.0,7.0,2.0,1.0,1.0,4.0,0.0,,16.0,2.0,3.0,2.0,2.0,9.0,1.0,2.0,3.0,6.0,1.0,1.0,2.0,2.0,6.0,2.0,2.0,1.0,2.0,7.0,28.0,44.0,both
